Reference ID,Job Profile Name,Created Effective Date,Inactive,Include Job Code in Name,Private Title,Job Profile Summary,Job Description,Additional Job Description,Work Shift Required,Is Job Public,Job Families on Job Profile
Chief_Executive_Officer,Chief Executive Officer,1/1/2000,n,,,"We're a modern company and so is our CEO with a mantra is to make things happen, turn ideas into action while embracing mobile and social technologies tweeting and friending your way into the hearts and minds of our stakeholders. You know how to turn on a dime to take a company in new directions before the market and technology commands it, to create a business culture that's expansive and promotes employee and customer engagement while setting a future vision and strategy mapped not only to organizational objectives but to community and global social purposes as well. You are a modern CEO with a modern vision.","Has overall responsibility for creating, planning, implementing and integrating the strategic direction of an organization.
Ensures the organization's leadership maintains constant awareness of both the external and internal competitive landscape, opportunities for expansion, customers, markets, new industry developments and standards, and so forth.",,,Yes,Executive_Management,,
Chief_Information_Officer,Chief Information Officer,1/1/2000,n,,,"In six years there could be more than 50 billion connected devices in the world.  Our CIO is a business driver, internal coach and consultant who speaks the language of the C-Suite and can lead the digital enterprise staying in front of trends and ahead of competition by being agile, customer-focused, visible, and innovative.",".  Sets objectives and strategies for the IT department
.  Selects and implements suitable technology to streamline all internal operations and help optimize their strategic benefits
.  Designs and customizes technological systems and platforms to improve customer experience
.  Plans the implementation of new systems and provide guidance to IT professionals and other staff within the organization
.  Approves purchases of technological equipment and software and establishes partnerships with IT providers
.  Oversees the technological infrastructure (networks and computer systems) in the organization to ensure optimal performance
.  Analyzes the costs, values and risks of information technology to advise management and suggest actions",,,Yes,Executive_Management,, 
Chief_Financial_Officer,Chief Financial Officer,1/1/2000,n,,,"A strategic adviser, disciplined operator, right-hand executive and trusted business partner to the CEO, you're no ordinary bean counter.  You have a comprehensive vision of the company able to execute the CEO's vision by challenging and optimizing processes and operations for profit purposes while pushing the envelope with innovative technology solutions that support and propel the business forward. You understand the importance of culture, brand, strategic needs,  and performance trends and work actively with the management team to develop, justify and implement strategies to improve them.","Reports to the Board of Directors  
Makes high-level decisions about policy and strategy
Keeps the Board of Directors informed about policy issues
Provides executive leadership across an organization
Evaluates the success of the organization  
Develops and implementing operational policies  
Acts as the primary spokesperson for the organization  
Develops the organization’s culture and vision",,,Yes,Executive_Management,,
Chief_Operating_Officer,Chief Operating Officer,1/1/2000,n,,,The COO is a corporate officer responsible for managing the day-to-day activities of the corporation.,,,,Yes,Executive_Management,,
General_Counsel,General Counsel,1/1/2000,n,,,"Advises the CEO, Chairman and Board on all legal matters impacting the organization and its entities.   Prepares, reviews and negotiates all contracts and legal documents.  Provides legal guidance to the compliance function and seeks to ensure that the organization conducts its business according to applicable federal and state laws and regulations.  Represents the Company before all legal forums including governmental and regulatory agencies, courts and arbitration bodies.",,,,Yes,FA_Management,,
Chief_Human_Resources_Officer,Chief Human Resources Officer,1/1/2000,n,,,"Oversees all aspects of HR management, practices and operations to meet the needs of a growing and evolving organization by developing and executing people programs, service delivery strategies, enhanced organizational decision-making and talent strategies to secure growth on a global scale while acting as the curator/guardian responsible for preserving core culture.","·  Key human resources adviser to executive leadership, with responsibility for developing and implementing overall people strategy, initiatives and programs to support business outcomes.
·  Drives cultural transformation while building employee engagement.
·  Leads the development and implementation of progressive compensation and benefits programs to provide motivation, incentives, recognition, and rewards for effective performance.
 ·  Develops talent planning models to identify gaps with respect to competency, knowledge and talent, and oversees the development of specific programs for filling these gaps.",,,Yes,Executive_Management,,
Director_Employee_Benefits,"Director, Employee Benefits",1/1/2000,n,,,"The Director of Compensation & Benefits is both strategic and tactical, ensuring the ongoing implementation of existing programs while strategizing and introducing broad-based initiatives designed to attract and retain superior talent.",,,,Yes,HR_Management,,
Director_Payroll_Operations,"Director, Payroll Operations",1/1/2000,n,,,"Responsible for payroll preparation & processing, tax reporting & compliance, overall administration & maintenance of payroll systems. Responsible for all payroll related activities for acquisitions or divestitures.","General Responsibilities:
This role leads a highly professional organization that manages multiple payrolls across the globe with varying pay delivery frequencies. Total payroll scope is approx 4,000 employees across c40 countries.
Responsibility includes payroll delivery, vendor management, operational effectiveness initiatives, development of service level metrics and management of end-to-end controls for payroll processes while also developing an organization-wide culture of continuous improvement
Accountability for audit support, compliance support, service delivery excellence, governance with key business partners, ensuring successful implementation of all acquisitions and new country development, driving process improvement and automation as well as staff development
Provide consistently accurate, efficient, scalable, and cost-effective payroll services that exceed industry standard performance benchmarks while providing business value to our stakeholders at the corporate, regional and local levels
Analyze complex pay transactions, identify issues that exist and work with various internal operational teams to identify root cause of payroll system issues, assess risk and implement mitigation plans to minimize or eliminate future occurrence
Support the design, implementation and operational delivery of a standardized global payroll solution with highest level of integration with Workday Global HR system. This global payroll solution includes: Global Payroll, Global Time Reporting and Global Absence Management functions
Design, develop, and implement payroll business processes, polices and work rules; and create and maintain payroll process repository
Foster an environment in which customer needs and requirements are anticipated and expectations are exceeded. Analyze actual data for trends, drivers and performance results against industry benchmarks to drive SLA compliance/quality improvement
Diagnose complex payroll and reimbursement problems and make recommendations to improve efficiency and effectiveness
Facilitate development of payroll project plans and schedules relating to ongoing enterprise-wide and internal enhancement projects
Select and manage vendor relationships to deliver timely, accurate and compliant payroll
Design and implement proper segregation of duties, Sarbanes-Oxley controls, and internal self-audits. Ensure compliance with all corporate policies and procedures. Partner with Internal Audit team to provide compliance reporting and SOX narratives that support the Corporate/Global process controls while ensuring no high risk audit comments. Manage the various audits, such as employment tax audits and internal/external audits. Drive vendor governance routines and ensure our vendors are meeting or exceeding contractual SLA's
Develop/maintain payroll disaster recovery methodology
Ensure payroll transactions are properly classified and in compliance with general accounting principles, and audit requirements
Recruit and manage staff engaged in the processing of payroll, time and attendance, relevant deductions, and overall compliance; create an environment that is conducive to full performance; and ensure continuous training, and high morale
Collaborate with Benefits, Compensation, and HR communities in the support of HR Business initiatives
Foster a high rate of associate engagement within the team to develop high performing employees: Build a positive work environment that encourages teamwork. Retain and develop employees through training, career development, and timely reward and recognition. Regularly provide coaching and mentoring sessions that promote employee performance and development, creating a motivational and rewarding environment which promotes continuous learning & growth
Create routines and collaborative partnerships to document and share best practices broadly. Understand business partners' needs and effectively propose recommendations. Collaborate with other Global HR leaders and the HR Shared Services on joint initiatives to ensure a coordinated effort between the functional areas and proper documentation on roles and responsibilities is agreed and understood.

Qualifications:
Minimum 10+ years relevant experience managing a payroll operations team preferably in a medium to large, corporate environment with multi-country/jurisdictional payroll
Knowledge of employment regulations in the respective countries including compliance with country guidelines, or the ability to learn quickly
Knowledge of accounting, with a focus on compensation accounting
Experience in designing, implementing and reviewing internal controls aimed at reducing operational risk
Strong verbal and written communication skills and the ability to work collaboratively across teams and vendors
Strong client service mentality; able to develop strong working relationships with team, internal partners and vendors to deliver high quality service
Ability to successfully handle numerous priorities in a dynamic environment",,,Yes,HR_Management,,
Director_Recruiting_Services,"Director, Recruiting Services",1/1/2000,n,,,Overall responsibility for creating & executing holistic recruitment strategy that maximizes quality of new hires & speed they are hired. Responsible for managing recruitment team & for devising & implementing strategies for minimizing recruitment costs.,"Job Duties:
• Develops & implements annual & long-term recruitment strategies, which include strategies for high volumes in many ""hard-to-recruit"" positions in healthcare.
• Collaborates w/ key stakeholders to create action plans, set direction & establish goals.
• Develops & implements improvement plans related to recruitment systems, policies & processes, & department/individual performance.
• Communicates w/ senior leaders regarding recruitment strategies, short/long term objectives, & alignment w/ organizational goals & initiatives.
• Develops & oversees service level agreements leading to the delivery of high quality, cost-effective recruitment, hiring, internal transfer, on-boarding, workforce planning, pipeline development, & career planning services.
• Helps develop, analyzes, & reports on success against workforce & recruitment/hiring metrics.
• Provides managerial oversight for the NCAL workforce planning function that develops robust talent pipelines for clinical & non-clinical hard-to-fill positions (e.g., Nursing, Allied Health, & Pharmacy).
• Also, responsible for ensuring that the Region's career redeployment function is able to deliver transitional services as needed for potentially impacted job roles.
• Provides continuous consultation & active partnership w/ key leaders of our medical facilities, business units, & national Human Resources to: develop & drive plans to execute the business strategy & our not-for-profit mission to provide superior quality & service at a competitive price &  - introduce & lead process improvements, build the systems & infrastructure to ensure the highest levels of client service, & develop a strong team.
• Develop talent pipelines across a broad range of clinical & non-clinical roles to meet future business demands.
• Develops & manages recruiting budget; maintains cost effectiveness & efficiency for delivery of all recruiting services (e.g., recruitment payroll, external vendors); tracks & analyzes expenses against the operational budget w/ linkage to the workforce recruiting plan.
• Leads over 200 local area staff located across NCAL, including a transfer processing & job posting center w/ volumes of several hundred thousand transactions per year.
• Collaborates w/ HR Business Partners & local recruiting directors to evaluate the effectiveness of recruitment services, including establishment of performance metrics & measurement of client satisfaction.
• Establishes & tracks performance metrics for staff; manages recruitment workload levels & assignments.
• Negotiates process & policy changes in collaboration w/ Operations, Labor, & Regional, Local & National HR Partners; ensures compliance w/ labor agreements & promotion of Labor Management Partnership objectives.
• Facilitates the transition of appropriate recruitment aspects to the National Shared Services Function.
• Ensures that the diversity of our workforce matches the diversity of the communities that we serve as well as compliance w/ government regulations, & legal & professional standards related to employment & EEO/AAP.
• Ensures consistency & effectiveness of recruitment processes & practices across the region.
• Directs or perform other tasks & special projects as required or assigned by HR Leadership or key clients.

Basic Qualifications:
Experience
• Minimum ten (10) years of recruiting or relevant experience in recruitment, sourcing and interacting with all levels.
• Minimum five (5) years of experience in complex union environments and in healthcare delivery and/or large, complex organization.
Education
• Bachelor's degree in in business, human resources, social science or related field OR four (4) years of experience in a directly related field.
• High School Diploma or General Education Development (GED) required.
Licenses, Certifications, Registrations
• N/A.
 
 
Preferred Qualifications:
• Five (5) + years of experience managing geographically dispersed teams preferred.
• Ten (10) + years professional experience in the healthcare field preferred.
• Experience leading in turnaround and/or transitional situations preferred.
• Experience managing the business of corporate recruiting, including budgeting, management, metrics reporting, and recruiting technology preferred.
• Master's degree in business, human resources, social science or related field preferred.",,,Yes,HR_Management,,
Director_Workforce_Planning,"Director, Workforce Planning",1/1/2000,n,,,"Responsible to provide leadership in the assessment of organizational needs and the development, implementation and evaluation of programs that facilitate the recruitment and retention of staff to support the organization's mission and goals.",,,,Yes,HR_Management,,
