"Location ID","Effective Date","Location Name","Location Usage",Superior Location,Inactive,Latitude,Longitude,Altitude,Time Profile,Locale,Time Zone,Default Currency,Effective Date,Country,Address Line Type,Address Line Data,Municipality,Submunicipality Type,Submunicipality Data,Country Region,Subregion Type,Subregion Data,Postal Code,Public,Primary,Type,Use For,Municipality Local,Country ISO Code,International Phone Code,Phone Number,Phone Extension,Device Type,Public,Primary,Type,Use For
Kuala_Lumpur,2020-01-01,Kuala Lumpur,BUSINESS ASSET,,n,3.162284,101.710396,0,Standard_Hours_40,ms_MY,Asia/Kuala_Lumpur,MYR,2020-01-01,MY,ADDRESS_LINE_1,Petronas Twin Towers,Kuala Lumpur City Centre,,,MYS-14,,,50088,y,y,BUSINESS,BILLING,,MYS,60,60320551830,,Fax,y,n,BUSINESS,BILLING
,,,BUSINESS SITE,,,,,,,,,,,,ADDRESS_LINE_2,"P.O. Box 120, Level 42, Tower 1",,,,,,,,,,,SHIPPING,,,,,,,,,,SHIPPING
,,,,,,,,,,,,,,,,,,,,,,,,,,,REMIT,,,,,,,,,,REMIT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MYS,60,60320551829,,Landline,y,y,BUSINESS,BILLING
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHIPPING
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REMIT
Toronto,2020-01-01,Toronto,BUSINESS ASSET,,n,43.647473,-79.378238,0,Standard_Hours_40,en_CA,US/Eastern,CAD,2020-01-01,CA,ADDRESS_LINE_1,181 Bay Street,Toronto,,,CAN-ON,,,M5J 2T3,y,y,BUSINESS,BILLING,,CAN,1,4165725038,,Fax,y,n,BUSINESS,BILLING
,,,BUSINESS SITE,,,,,,,,,,,,ADDRESS_LINE_2,30th Floor,,,,,,,,,,,SHIPPING,,,,,,,,,,SHIPPING
,,,EXTENDED ENTERPRISE AFFILIATION,,,,,,,,,,,,,,,,,,,,,,,,REMIT,,,,,,,,,,REMIT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAN,1,2505550199,,Landline,y,y,BUSINESS,BILLING
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHIPPING
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REMIT
Hong_Kong,2020-01-01,Hong Kong,BUSINESS ASSET,,n,22.281234,114.154601,0,Standard_Hours_40,zh_HK,Asia/Hong_Kong,HKD,2020-01-01,HK,ADDRESS_LINE_1,28W The Centrium,Hong Kong,,,,,,,y,y,BUSINESS,BILLING,,HKG,852,2101-8201,,Fax,y,n,BUSINESS,BILLING
,,,BUSINESS SITE,,,,,,,,,,,,ADDRESS_LINE_2,60 Wyndham Street,,,,,,,,,,,SHIPPING,,,,,,,,,,SHIPPING
,,,,,,,,,,,,,,,ADDRESS_LINE_3,Central Hong Kong,,,,,,,,,,,REMIT,,,,,,,,,,REMIT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HKG,852,2101-8200,,Landline,y,y,BUSINESS,BILLING
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHIPPING
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REMIT
Home_Office_USA,2020-01-01,Home Office (USA),BUSINESS ASSET,,n,0,0,0,Standard_Hours_40,en_US,US/Pacific,USD,2020-01-01,US,ADDRESS_LINE_1,123 Main Street,Anytown,,,USA-CA,,,94065,y,y,BUSINESS,,,USA,1,800555-1212,,Landline,y,y,BUSINESS,
,,,BUSINESS SITE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,PAYROLL TAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mumbai,2020-01-01,Mumbai,BUSINESS ASSET,,n,19.029848,72.837853,0,Standard_Hours_40,en_IN,IST,INR,2020-01-01,IN,ADDRESS_LINE_1,"No. 81, Dev Kunj",Mumbai,,,IND-MH,,,400028,y,y,BUSINESS,BILLING,,IND,91,2244365522,,Fax,y,n,BUSINESS,BILLING
,,,BUSINESS SITE,,,,,,,,,,,,ADDRESS_LINE_2,Veer Savarkar Marg,,,,,,,,,,,SHIPPING,,,,,,,,,,SHIPPING
,,,,,,,,,,,,,,,ADDRESS_LINE_3,Shivaji Park,,,,,,,,,,,REMIT,,,,,,,,,,REMIT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IND,91,2244365511,,Landline,y,y,BUSINESS,BILLING
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHIPPING
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REMIT
