Country ISO Code,Predefined Name Component Type,Value,ID
AUS,TITLE,Mr.,Mr_Australia
AUS,TITLE,Mrs.,Mrs_Australia
AUS,TITLE,Ms.,Ms_Australia
AUS,TITLE,Miss,Miss_Australia
AUS,TITLE,Dr.,Dr_Australia
AUS,TITLE,Prof.,Prof_Australia
BEL,HEREDITARY,zur,zur_Belgium2
BEL,HEREDITARY,Zur,Zur_Belgium
BEL,HEREDITARY,zum,zum_Belgium2
BEL,HEREDITARY,Zum,Zum_Belgium
BEL,HEREDITARY,zu,zu_Belgium2
BEL,HEREDITARY,Zu,Zu_Belgium
BEL,HEREDITARY,vor der,vor der_Belgium2
BEL,HEREDITARY,Vor der,Vor der_Belgium
BEL,HEREDITARY,vor,vor_Belgium2
BEL,HEREDITARY,Vor,Vor_Belgium
BEL,HEREDITARY,voor in t,voor in t_Belgium2
BEL,HEREDITARY,Voor in t,Voor in t_Belgium
BEL,HEREDITARY,voor in 't,voor in 't_Belgium2
BEL,HEREDITARY,Voor in 't,Voor in 't_Belgium
BEL,HEREDITARY,voor den,voor den_Belgium2
BEL,HEREDITARY,Voor den,Voor den_Belgium
BEL,HEREDITARY,voor de,voor de_Belgium2
BEL,HEREDITARY,Voor de,Voor de_Belgium
BEL,HEREDITARY,voor 't,voor 't_Belgium2
BEL,HEREDITARY,Voor 't,Voor 't_Belgium
BEL,HEREDITARY,voor,voor_Belgium2
BEL,HEREDITARY,Voor,Voor_Belgium
BEL,HEREDITARY,von t,von t_Belgium2
BEL,HEREDITARY,Von t,Von t_Belgium
BEL,HEREDITARY,von der,von der_Belgium2
BEL,HEREDITARY,Von der,Von der_Belgium
BEL,HEREDITARY,von den,von den_Belgium2
BEL,HEREDITARY,Von den,Von den_Belgium
BEL,HEREDITARY,von dem,von dem_Belgium2
BEL,HEREDITARY,Von dem,Von dem_Belgium
BEL,HEREDITARY,von 't,von 't_Belgium2
BEL,HEREDITARY,Von 't,Von 't_Belgium
BEL,HEREDITARY,von,von_Belgium2
BEL,HEREDITARY,Von,Von_Belgium
BEL,HEREDITARY,vom,vom_Belgium2
BEL,HEREDITARY,Vom,Vom_Belgium
BEL,HEREDITARY,ver,ver_Belgium2
BEL,HEREDITARY,Ver,Ver_Belgium
BEL,HEREDITARY,van van de,van van de_Belgium2
BEL,HEREDITARY,Van van de,Van van de_Belgium
BEL,HEREDITARY,van ter,van ter_Belgium2
BEL,HEREDITARY,Van ter,Van ter_Belgium
BEL,HEREDITARY,van t,van t_Belgium2
BEL,HEREDITARY,Van t,Van t_Belgium
BEL,HEREDITARY,van la,van la_Belgium2
BEL,HEREDITARY,Van la,Van la_Belgium
BEL,HEREDITARY,van het,van het_Belgium2
BEL,HEREDITARY,Van het,Van het_Belgium
BEL,HEREDITARY,van gen,van gen_Belgium2
BEL,HEREDITARY,Van gen,Van gen_Belgium
BEL,HEREDITARY,van der,van der_Belgium3
BEL,HEREDITARY,Van der,Van der_Belgium2
BEL,HEREDITARY,Van Der,Van Der_Belgium
BEL,HEREDITARY,van den,van den_Belgium3
BEL,HEREDITARY,Van den,Van den_Belgium2
BEL,HEREDITARY,Van Den,Van Den_Belgium
BEL,HEREDITARY,van de l',van de l'_Belgium2
BEL,HEREDITARY,Van de l',Van de l'_Belgium
BEL,HEREDITARY,van de l,van de l_Belgium2
BEL,HEREDITARY,Van de l,Van de l_Belgium
BEL,HEREDITARY,van de,van de_Belgium3
BEL,HEREDITARY,van De,van De_Belgium2
BEL,HEREDITARY,Van de,Van de_Belgium
BEL,HEREDITARY,van 't,van 't_Belgium2
BEL,HEREDITARY,Van 't,Van 't_Belgium
BEL,HEREDITARY,van,van_Belgium2
BEL,HEREDITARY,Van,Van_Belgium
BEL,HEREDITARY,unter,unter_Belgium2
BEL,HEREDITARY,Unter,Unter_Belgium
BEL,HEREDITARY,uit ten,uit ten_Belgium2
BEL,HEREDITARY,Uit ten,Uit ten_Belgium
BEL,HEREDITARY,uit te de,uit te de_Belgium2
BEL,HEREDITARY,Uit te de,Uit te de_Belgium
BEL,HEREDITARY,uit t,uit t_Belgium2
BEL,HEREDITARY,Uit t,Uit t_Belgium
BEL,HEREDITARY,uit het,uit het_Belgium2
BEL,HEREDITARY,Uit het,Uit het_Belgium
BEL,HEREDITARY,uit den,uit den_Belgium2
BEL,HEREDITARY,Uit den,Uit den_Belgium
BEL,HEREDITARY,uit de,uit de_Belgium2
BEL,HEREDITARY,Uit de,Uit de_Belgium
BEL,HEREDITARY,uit 't,uit 't_Belgium2
BEL,HEREDITARY,Uit 't,Uit 't_Belgium
BEL,HEREDITARY,uit,uit_Belgium2
BEL,HEREDITARY,Uit,Uit_Belgium
BEL,HEREDITARY,uijt ten,uijt ten_Belgium2
BEL,HEREDITARY,Uijt ten,Uijt ten_Belgium
BEL,HEREDITARY,uijt te de,uijt te de_Belgium2
BEL,HEREDITARY,Uijt te de,Uijt te de_Belgium
BEL,HEREDITARY,uijt den,uijt den_Belgium2
BEL,HEREDITARY,Uijt den,Uijt den_Belgium
BEL,HEREDITARY,uijt de,uijt de_Belgium2
BEL,HEREDITARY,Uijt de,Uijt de_Belgium
BEL,HEREDITARY,uijt 't,uijt 't_Belgium2
BEL,HEREDITARY,Uijt 't,Uijt 't_Belgium
BEL,HEREDITARY,uijt,uijt_Belgium2
BEL,HEREDITARY,Uijt,Uijt_Belgium
BEL,HEREDITARY,tot,tot_Belgium2
BEL,HEREDITARY,Tot,Tot_Belgium
BEL,HEREDITARY,toe,toe_Belgium2
BEL,HEREDITARY,Toe,Toe_Belgium
BEL,HEREDITARY,to,to_Belgium2
BEL,HEREDITARY,To,To_Belgium
BEL,HEREDITARY,thor,thor_Belgium2
BEL,HEREDITARY,Thor,Thor_Belgium
BEL,HEREDITARY,thoe,thoe_Belgium2
BEL,HEREDITARY,Thoe,Thoe_Belgium
BEL,HEREDITARY,tho,tho_Belgium2
BEL,HEREDITARY,Tho,Tho_Belgium
BEL,HEREDITARY,ter,ter_Belgium2
BEL,HEREDITARY,Ter,Ter_Belgium
BEL,HEREDITARY,ten,ten_Belgium2
BEL,HEREDITARY,Ten,Ten_Belgium
BEL,HEREDITARY,te,te_Belgium2
BEL,HEREDITARY,Te,Te_Belgium
BEL,HEREDITARY,t,t_Belgium2
BEL,HEREDITARY,T,T_Belgium
BEL,HEREDITARY,s',s'_Belgium2
BEL,HEREDITARY,S',S'_Belgium
BEL,HEREDITARY,s,s_Belgium2
BEL,HEREDITARY,S,S_Belgium
BEL,HEREDITARY,over t,over t_Belgium2
BEL,HEREDITARY,Over t,Over t_Belgium
BEL,HEREDITARY,over het,over het_Belgium2
BEL,HEREDITARY,Over het,Over het_Belgium
BEL,HEREDITARY,over den,over den_Belgium2
BEL,HEREDITARY,Over den,Over den_Belgium
BEL,HEREDITARY,over de,over de_Belgium2
BEL,HEREDITARY,Over de,Over de_Belgium
BEL,HEREDITARY,over 't,over 't_Belgium2
BEL,HEREDITARY,Over 't,Over 't_Belgium
BEL,HEREDITARY,over,over_Belgium2
BEL,HEREDITARY,Over,Over_Belgium
BEL,HEREDITARY,op ten,op ten_Belgium2
BEL,HEREDITARY,Op ten,Op ten_Belgium
BEL,HEREDITARY,op t,op t_Belgium2
BEL,HEREDITARY,Op t,Op t_Belgium
BEL,HEREDITARY,op het,op het_Belgium2
BEL,HEREDITARY,Op het,Op het_Belgium
BEL,HEREDITARY,op gen,op gen_Belgium2
BEL,HEREDITARY,Op gen,Op gen_Belgium
BEL,HEREDITARY,op der,op der_Belgium2
BEL,HEREDITARY,Op der,Op der_Belgium
BEL,HEREDITARY,op den,op den_Belgium2
BEL,HEREDITARY,Op den,Op den_Belgium
BEL,HEREDITARY,op de,op de_Belgium2
BEL,HEREDITARY,Op de,Op de_Belgium
BEL,HEREDITARY,op 't,op 't_Belgium2
BEL,HEREDITARY,Op 't,Op 't_Belgium
BEL,HEREDITARY,op,op_Belgium2
BEL,HEREDITARY,Op,Op_Belgium
BEL,HEREDITARY,onder t,onder t_Belgium2
BEL,HEREDITARY,Onder t,Onder t_Belgium
BEL,HEREDITARY,onder het,onder het_Belgium2
BEL,HEREDITARY,Onder het,Onder het_Belgium
BEL,HEREDITARY,onder den,onder den_Belgium2
BEL,HEREDITARY,Onder den,Onder den_Belgium
BEL,HEREDITARY,onder de,onder de_Belgium2
BEL,HEREDITARY,Onder de,Onder de_Belgium
BEL,HEREDITARY,onder 't,onder 't_Belgium2
BEL,HEREDITARY,Onder 't,Onder 't_Belgium
BEL,HEREDITARY,onder,onder_Belgium2
BEL,HEREDITARY,Onder,Onder_Belgium
BEL,HEREDITARY,of,of_Belgium2
BEL,HEREDITARY,Of,Of_Belgium
BEL,HEREDITARY,los,los_Belgium2
BEL,HEREDITARY,Los,Los_Belgium
BEL,HEREDITARY,lo,lo_Belgium2
BEL,HEREDITARY,Lo,Lo_Belgium
BEL,HEREDITARY,les,les_Belgium2
BEL,HEREDITARY,Les,Les_Belgium
BEL,HEREDITARY,le,le_Belgium2
BEL,HEREDITARY,Le,Le_Belgium
BEL,HEREDITARY,las,las_Belgium2
BEL,HEREDITARY,Las,Las_Belgium
BEL,HEREDITARY,la,la_Belgium2
BEL,HEREDITARY,La,La_Belgium
BEL,HEREDITARY,l',l'_Belgium2
BEL,HEREDITARY,L',L'_Belgium
BEL,HEREDITARY,l,l_Belgium2
BEL,HEREDITARY,L,L_Belgium
BEL,HEREDITARY,in t,in t_Belgium2
BEL,HEREDITARY,In t,In t_Belgium
BEL,HEREDITARY,in het,in het_Belgium2
BEL,HEREDITARY,In het,In het_Belgium
BEL,HEREDITARY,in der,in der_Belgium2
BEL,HEREDITARY,In der,In der_Belgium
BEL,HEREDITARY,in den,in den_Belgium2
BEL,HEREDITARY,In den,In den_Belgium
BEL,HEREDITARY,in de,in de_Belgium2
BEL,HEREDITARY,In de,In de_Belgium
BEL,HEREDITARY,in 't,in 't_Belgium2
BEL,HEREDITARY,In 't,In 't_Belgium
BEL,HEREDITARY,in,in_Belgium2
BEL,HEREDITARY,In,In_Belgium
BEL,HEREDITARY,im,im_Belgium2
BEL,HEREDITARY,Im,Im_Belgium
BEL,HEREDITARY,i,i_Belgium2
BEL,HEREDITARY,I,I_Belgium
BEL,HEREDITARY,het,het_Belgium2
BEL,HEREDITARY,Het,Het_Belgium
BEL,HEREDITARY,el,el_Belgium2
BEL,HEREDITARY,El,El_Belgium
BEL,HEREDITARY,du,du_Belgium2
BEL,HEREDITARY,Du,Du_Belgium
BEL,HEREDITARY,dos,dos_Belgium2
BEL,HEREDITARY,Dos,Dos_Belgium
BEL,HEREDITARY,don,don_Belgium2
BEL,HEREDITARY,Don,Don_Belgium
BEL,HEREDITARY,do,do_Belgium2
BEL,HEREDITARY,Do,Do_Belgium
BEL,HEREDITARY,die le,die le_Belgium2
BEL,HEREDITARY,Die le,Die le_Belgium
BEL,HEREDITARY,di,di_Belgium2
BEL,HEREDITARY,Di,Di_Belgium
BEL,HEREDITARY,des,des_Belgium2
BEL,HEREDITARY,Des,Des_Belgium
BEL,HEREDITARY,der,der_Belgium2
BEL,HEREDITARY,Der,Der_Belgium
BEL,HEREDITARY,den,den_Belgium2
BEL,HEREDITARY,Den,Den_Belgium
BEL,HEREDITARY,della,della_Belgium2
BEL,HEREDITARY,Della,Della_Belgium
BEL,HEREDITARY,del,del_Belgium2
BEL,HEREDITARY,Del,Del_Belgium
BEL,HEREDITARY,dei,dei_Belgium2
BEL,HEREDITARY,Dei,Dei_Belgium
BEL,HEREDITARY,degli,degli_Belgium2
BEL,HEREDITARY,Degli,Degli_Belgium
BEL,HEREDITARY,deca,deca_Belgium2
BEL,HEREDITARY,Deca,Deca_Belgium
BEL,HEREDITARY,de van der,de van der_Belgium2
BEL,HEREDITARY,De van der,De van der_Belgium
BEL,HEREDITARY,de le,de le_Belgium2
BEL,HEREDITARY,De le,De le_Belgium
BEL,HEREDITARY,de las,de las_Belgium2
BEL,HEREDITARY,De las,De las_Belgium
BEL,HEREDITARY,de la,de la_Belgium2
BEL,HEREDITARY,De la,De la_Belgium
BEL,HEREDITARY,de l',de l'_Belgium2
BEL,HEREDITARY,De l',De l'_Belgium
BEL,HEREDITARY,de l,de l_Belgium2
BEL,HEREDITARY,De l,De l_Belgium
BEL,HEREDITARY,de die le,de die le_Belgium2
BEL,HEREDITARY,De die le,De die le_Belgium
BEL,HEREDITARY,de die,de die_Belgium2
BEL,HEREDITARY,De die,De die_Belgium
BEL,HEREDITARY,de,de_Belgium2
BEL,HEREDITARY,De,De_Belgium
BEL,HEREDITARY,das,das_Belgium2
BEL,HEREDITARY,Das,Das_Belgium
BEL,HEREDITARY,dalla,dalla_Belgium2
BEL,HEREDITARY,Dalla,Dalla_Belgium
BEL,HEREDITARY,dal',dal'_Belgium2
BEL,HEREDITARY,Dal',Dal'_Belgium
BEL,HEREDITARY,dal,dal_Belgium2
BEL,HEREDITARY,Dal,Dal_Belgium
BEL,HEREDITARY,da,da_Belgium2
BEL,HEREDITARY,Da,Da_Belgium
BEL,HEREDITARY,d',d'_Belgium2
BEL,HEREDITARY,D',D'_Belgium
BEL,HEREDITARY,d,d_Belgium2
BEL,HEREDITARY,D,D_Belgium
BEL,HEREDITARY,boven d',boven d'_Belgium2
BEL,HEREDITARY,Boven d',Boven d'_Belgium
BEL,HEREDITARY,boven d,boven d_Belgium2
BEL,HEREDITARY,Boven d,Boven d_Belgium
BEL,HEREDITARY,bin,bin_Belgium2
BEL,HEREDITARY,Bin,Bin_Belgium
BEL,HEREDITARY,bij t,bij t_Belgium2
BEL,HEREDITARY,Bij t,Bij t_Belgium
BEL,HEREDITARY,bij het,bij het_Belgium2
BEL,HEREDITARY,Bij het,Bij het_Belgium
BEL,HEREDITARY,bij den,bij den_Belgium2
BEL,HEREDITARY,Bij den,Bij den_Belgium
BEL,HEREDITARY,bij de,bij de_Belgium2
BEL,HEREDITARY,Bij de,Bij de_Belgium
BEL,HEREDITARY,bij 't,bij 't_Belgium2
BEL,HEREDITARY,Bij 't,Bij 't_Belgium
BEL,HEREDITARY,bij,bij_Belgium2
BEL,HEREDITARY,Bij,Bij_Belgium
BEL,HEREDITARY,ben,ben_Belgium2
BEL,HEREDITARY,Ben,Ben_Belgium
BEL,HEREDITARY,aus m,aus m_Belgium2
BEL,HEREDITARY,Aus m,Aus m_Belgium
BEL,HEREDITARY,aus der,aus der_Belgium2
BEL,HEREDITARY,Aus der,Aus der_Belgium
BEL,HEREDITARY,aus den,aus den_Belgium2
BEL,HEREDITARY,Aus den,Aus den_Belgium
BEL,HEREDITARY,aus dem,aus dem_Belgium2
BEL,HEREDITARY,Aus dem,Aus dem_Belgium
BEL,HEREDITARY,aus 'm,aus 'm_Belgium2
BEL,HEREDITARY,Aus 'm,Aus 'm_Belgium
BEL,HEREDITARY,aus,aus_Belgium2
BEL,HEREDITARY,Aus,Aus_Belgium
BEL,HEREDITARY,auf ter,auf ter_Belgium2
BEL,HEREDITARY,Auf ter,Auf ter_Belgium
BEL,HEREDITARY,auf der,auf der_Belgium2
BEL,HEREDITARY,Auf der,Auf der_Belgium
BEL,HEREDITARY,auf den,auf den_Belgium2
BEL,HEREDITARY,Auf den,Auf den_Belgium
BEL,HEREDITARY,auf dem,auf dem_Belgium2
BEL,HEREDITARY,Auf dem,Auf dem_Belgium
BEL,HEREDITARY,auf,auf_Belgium2
BEL,HEREDITARY,Auf,Auf_Belgium
BEL,HEREDITARY,am de,am de_Belgium2
BEL,HEREDITARY,Am de,Am de_Belgium
BEL,HEREDITARY,am,am_Belgium2
BEL,HEREDITARY,Am,Am_Belgium
BEL,HEREDITARY,al,al_Belgium2
BEL,HEREDITARY,Al,Al_Belgium
BEL,HEREDITARY,af,af_Belgium2
BEL,HEREDITARY,Af,Af_Belgium
BEL,HEREDITARY,aan t,aan t_Belgium2
BEL,HEREDITARY,Aan t,Aan t_Belgium
BEL,HEREDITARY,aan het,aan het_Belgium2
BEL,HEREDITARY,Aan het,Aan het_Belgium
BEL,HEREDITARY,aan der,aan der_Belgium2
BEL,HEREDITARY,Aan der,Aan der_Belgium
BEL,HEREDITARY,aan den,aan den_Belgium2
BEL,HEREDITARY,Aan den,Aan den_Belgium
BEL,HEREDITARY,aan de,aan de_Belgium2
BEL,HEREDITARY,Aan de,Aan de_Belgium
BEL,HEREDITARY,aan 't,aan 't_Belgium2
BEL,HEREDITARY,Aan 't,Aan 't_Belgium
BEL,HEREDITARY,aan,aan_Belgium2
BEL,HEREDITARY,Aan,Aan_Belgium
BEL,HEREDITARY,a,a_Belgium2
BEL,HEREDITARY,A,A_Belgium
BEL,HEREDITARY,t,t_Belgium2
BEL,HEREDITARY,T,T_Belgium
BEL,HEREDITARY,s,s_Belgium2
BEL,HEREDITARY,S,S_Belgium
CAN,TITLE,Mr.,Mr_Canada
CAN,TITLE,Mrs.,Mrs_Canada
CAN,TITLE,Ms.,Ms_Canada
CAN,TITLE,Miss,Miss_Canada
CAN,TITLE,Dr.,Dr_Canada
CAN,TITLE,Prof.,Prof_Canada
DEU,HEREDITARY,zur,zur_Germany
DEU,HEREDITARY,zum,zum_Germany
DEU,HEREDITARY,zu,zu_Germany
DEU,HEREDITARY,y del,y del_Germany
DEU,HEREDITARY,y,y_Germany
DEU,HEREDITARY,vorn,vorn_Germany
DEU,HEREDITARY,vorm,vorm_Germany
DEU,HEREDITARY,vor der,vor der_Germany
DEU,HEREDITARY,vor den,vor den_Germany
DEU,HEREDITARY,vor dem,vor dem_Germany
DEU,HEREDITARY,vor,vor_Germany
DEU,HEREDITARY,von mast,von mast_Germany
DEU,HEREDITARY,von einem,von einem_Germany
DEU,HEREDITARY,vonder,vonder_Germany
DEU,HEREDITARY,vondem,vondem_Germany
DEU,HEREDITARY,vonden,vonden_Germany
DEU,HEREDITARY,vonde,vonde_Germany
DEU,HEREDITARY,von zur,von zur_Germany
DEU,HEREDITARY,von zum,von zum_Germany
DEU,HEREDITARY,von zu,von zu_Germany
DEU,HEREDITARY,von la,von la_Germany
DEU,HEREDITARY,von der,von der_Germany
DEU,HEREDITARY,von den,von den_Germany
DEU,HEREDITARY,von dem,von dem_Germany
DEU,HEREDITARY,von de,von de_Germany
DEU,HEREDITARY,von und zur,von und zur_Germany
DEU,HEREDITARY,von und zu der,von und zu der_Germany
DEU,HEREDITARY,von und zu,von und zu_Germany
DEU,HEREDITARY,von,von_Germany
DEU,HEREDITARY,vom und zu,vom und zu_Germany
DEU,HEREDITARY,vom,vom_Germany
DEU,HEREDITARY,vo,vo_Germany
DEU,HEREDITARY,ver,ver_Germany
DEU,HEREDITARY,ven der,ven der_Germany
DEU,HEREDITARY,ven,ven_Germany
DEU,HEREDITARY,van t,van t_Germany
DEU,HEREDITARY,van het,van het_Germany
DEU,HEREDITARY,van gen,van gen_Germany
DEU,HEREDITARY,vander,vander_Germany
DEU,HEREDITARY,vanden,vanden_Germany
DEU,HEREDITARY,vandem,vandem_Germany
DEU,HEREDITARY,vande,vande_Germany
DEU,HEREDITARY,van der,van der_Germany
DEU,HEREDITARY,van den,van den_Germany
DEU,HEREDITARY,van dem,van dem_Germany
DEU,HEREDITARY,van de,van de_Germany
DEU,HEREDITARY,van,van_Germany
DEU,HEREDITARY,v.der,v.der_Germany
DEU,HEREDITARY,v.den,v.den_Germany
DEU,HEREDITARY,v.dem,v.dem_Germany
DEU,HEREDITARY,v.d.,v.d._Germany
DEU,HEREDITARY,v. der,v. der_Germany
DEU,HEREDITARY,v. den,v. den_Germany
DEU,HEREDITARY,v. dem,v. dem_Germany
DEU,HEREDITARY,v. d.,v. d._Germany
DEU,HEREDITARY,v.,v._Germany
DEU,HEREDITARY,unterm,unterm_Germany
DEU,HEREDITARY,unter,unter_Germany
DEU,HEREDITARY,unten,unten_Germany
DEU,HEREDITARY,tum,tum_Germany
DEU,HEREDITARY,tu,tu_Germany
DEU,HEREDITARY,tor,tor_Germany
DEU,HEREDITARY,tom,tom_Germany
DEU,HEREDITARY,to,to_Germany
DEU,HEREDITARY,thum,thum_Germany
DEU,HEREDITARY,thor,thor_Germany
DEU,HEREDITARY,thom,thom_Germany
DEU,HEREDITARY,tho,tho_Germany
DEU,HEREDITARY,thi,thi_Germany
DEU,HEREDITARY,ter,ter_Germany
DEU,HEREDITARY,ten,ten_Germany
DEU,HEREDITARY,te,te_Germany
DEU,HEREDITARY,t,t_Germany
DEU,HEREDITARY,st.,st._Germany
DEU,HEREDITARY,s,s_Germany
DEU,HEREDITARY,pro,pro_Germany
DEU,HEREDITARY,pla,pla_Germany
DEU,HEREDITARY,oude,oude_Germany
DEU,HEREDITARY,op ten,op ten_Germany
DEU,HEREDITARY,op te,op te_Germany
DEU,HEREDITARY,op het,op het_Germany
DEU,HEREDITARY,op gen,op gen_Germany
DEU,HEREDITARY,op den,op den_Germany
DEU,HEREDITARY,op de,op de_Germany
DEU,HEREDITARY,op,op_Germany
DEU,HEREDITARY,o',o'_Germany
DEU,HEREDITARY,o,o_Germany
