Workers Compensation ID,Workers Compensation Code,Workers Compensation Name*,Country,Country Region,Location
8742,8742,Salespersons - Outside,US,,
34,34,"Poultry Raising, Egg Production",US,,
35,35,Florists - Gardening,US,,
36,36,Dairy Farms,US,,
38,38,Stock Farms,US,,
40,40,Vineyards,US,,
41,41,Potato Crops,US,,
42,42,Landscape Gardening,US,,
44,44,Cotton Farms,US,,
45,45,Orchards - Nut Crops,US,,
3178,3178,Electronic Element Manufacturing,US,,
3179,3179,Electrical Apparatus Manufacturing,US,,
3180,3180,Fixtures or Lamp Manufacturing or Assembly - Metal,US,,
3220,3220,Can Manufacturing,US,,
3241,3241,Wire Rope or Cable Manufacturing - including wire drawing,US,,
3257,3257,Wire Good Manufacturing,US,,
3300,3300,Bedspring or Wire Mattress Manufacturing,US,,
3339,3339,Foundries - investment casting,US,,
3365,3365,"Welding or Cutting,  and Drivers",US,,
3372,3372,"Electroplating, Buffing, Galvanizing",US,,
3383,3383,Jewelry Manufacturing - including foundry operations,US,,
3400,3400,Metal Goods Manufacturing,US,,
3401,3401,Tube or Pipe Products Manufacturing,US,,
3501,3501,Machinery Manufacturing - portable tools and lawn care,US,,
3507,3507,"Machinery or Equip Manufacturing - agricultural, construction, mining",US,,
3560,3560,Machinery Manufacturing - commercial food processing,US,,
3566,3566,Audio/Visual Electronic Products Manufacturing,US,,
3567,3567,Computer or Computer Peripheral Equipment Manufacturing,US,,
3568,3568,Electrical Connector Manufacturing,US,,
3569,3569,Electric Motor Manufacturing or Repair,US,,
3570,3570,Electric Appliance Manufacturing,US,,
3572,3572,Medical Instrument Manufacturing - electronic,US,,
3573,3573,Power Supply Manufacturing - NPD,US,,
3574,3574,Machine Manufacturing - office or sewing,US,,
3577,3577,Printed Circuit Board Assembling - by contract,US,,
3578,3578,Radio or TV Broadcasting receiving equip Manufacturing,US,,
3579,3579,Telephone or Telephone Equipment Manufacturing,US,,
3612,3612,Pump or Hydraulic Apparatus Manufacturing or Repair,US,,
3620,3620,Boilermaking - Plate Steel Products Fabrication,US,,
3632,3632,Machine Shops,US,,
3634,3634,Valve Manufacturing,US,,
3643,3643,Electric Power or Transmission Equip Manufacturing,US,,
3647,3647,"Battery Manufacturing / Lead Manufacturing, Reclaiming or Alloying",US,,
3651,3651,Electrical Wire Harness Manufacturing,US,,
3681,3681,Instrument Manufacturing - professional or scientific,US,,
3682,3682,Instrument Manufacturing - non-electric -scientific or med,US,,
3683,3683,Speaker Manufacturing,US,,
3724,3724,Millwright Work,US,,
3805,3805,Auto or Truck Engine Manufacturing / Aircraft Engine Manufacturing,US,,
3807,3807,Auto or Truck Radiator Manufacturing,US,,
3808,3808,Auto or Motorcycle Manufacturing,US,,
